Name                       ,| Type   ,| Price              
Burger Gà                  ,| Burger ,| 16.000 vnđ
Burger Bò                  ,| Burger ,| 16.000 vnđ
Burger Cá                  ,| Burger ,| 18.000 vnđ
Burger Mực                 ,| Burger ,| 18.000 vnđ
Burger Tôm                 ,| Burger ,| 23.000 vnđ
Burger Bò Trứng            ,| Burger ,| 19.000 vnđ
Burger Bò Xúc xích         ,| Burger ,| 23.000 vnđ
Burger Bò Phô mai Trứng    ,| Burger ,| 23.000 vnđ
Burger Bò Trứng Xúc xích   ,| Burger ,| 25.000 vnđ
Burger Bò Phô mai Xúc xích ,| Burger ,| 28.000 vnđ
Burger Bò 2 tầng           ,| Burger ,| 26.000 vnđ
Gà rán truyền thống        ,| Gà rán ,| 20.000 vnđ
Gà Sốt Đậu                 ,| Gà rán ,| 20.000 vnđ
Gà Sốt Mật ong             ,| Gà rán ,| 20.000 vnđ
Gà viên                    ,| Khác   ,| 14.000 vnđ
Gà lắc                     ,| Khác   ,| 18.000 vnđ
Khoai tây                  ,| Khác   ,| 10.000 vnđ
Khoai tây lắc              ,| Khác   ,| 14.000 vnđ
Takoyaki                   ,| Khác   ,| 20.000 vnđ/4 viên
Xúc xích                   ,| Khác   ,| 10.000 vnđ/1 cây
Mực khoanh                 ,| Khác   ,| 5.000 vnđ/1 khoanh
Nước Coca                  ,| kHác   ,| 4.000 vnđ
Phô mai thêm cho Burger    ,| Khác   ,| 4.000 vnđ
Trứng thêm cho Burger      ,| Khác   ,| 3.000 vnđ
